epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5581,1.35532,2.12868,1.37106,0.66901,0.67984,0.69148,0.42131,1.30306,1.18797,1.35327,0.000236237,0.000236237,0.000236237
2,121.547,1.2893,1.28941,1.30805,0.65476,0.64555,0.68734,0.42228,1.32463,1.21308,1.37547,0.000458587,0.000458587,0.000458587
3,169.669,1.28244,1.246,1.30699,0.7386,0.60586,0.67045,0.41342,1.32493,1.1752,1.37458,0.000665229,0.000665229,0.000665229
4,216.276,1.2937,1.23156,1.32326,0.67542,0.64256,0.6621,0.40463,1.33217,1.18415,1.37684,0.000643314,0.000643314,0.000643314
5,264.315,1.25622,1.15447,1.29494,0.76031,0.67013,0.70972,0.44936,1.27208,1.05684,1.34316,0.000619752,0.000619752,0.000619752
6,310.905,1.24629,1.1021,1.2872,0.67597,0.68747,0.71017,0.4379,1.28077,1.07316,1.3211,0.00059619,0.00059619,0.00059619
7,358.54,1.22015,1.06859,1.2708,0.72513,0.69415,0.74528,0.47572,1.24454,0.9903,1.30877,0.000572628,0.000572628,0.000572628
8,405.311,1.21283,1.04252,1.26706,0.69312,0.7346,0.75526,0.47961,1.25657,0.96476,1.30996,0.000549066,0.000549066,0.000549066
9,453.028,1.18013,0.99519,1.24575,0.68056,0.72698,0.73713,0.47889,1.20721,1.00529,1.29465,0.000525504,0.000525504,0.000525504
10,499.558,1.15928,0.98847,1.23562,0.76414,0.72453,0.76191,0.49223,1.19046,0.92701,1.27901,0.000501942,0.000501942,0.000501942
11,547.141,1.16848,0.9765,1.2368,0.72765,0.74535,0.76983,0.50017,1.18704,0.94824,1.27472,0.00047838,0.00047838,0.00047838
12,593.752,1.13845,0.92883,1.21975,0.75819,0.73688,0.77686,0.5101,1.18522,0.89349,1.26556,0.000454818,0.000454818,0.000454818
13,642.624,1.13788,0.91758,1.2336,0.76831,0.74074,0.78453,0.51878,1.17244,0.87784,1.27038,0.000431256,0.000431256,0.000431256
14,689.628,1.111,0.90073,1.20714,0.74001,0.74912,0.77559,0.51366,1.17677,0.89962,1.25322,0.000407694,0.000407694,0.000407694
15,736.935,1.08866,0.87172,1.19802,0.74489,0.76962,0.78612,0.52035,1.15463,0.85673,1.25697,0.000384132,0.000384132,0.000384132
16,783.217,1.08348,0.857,1.19995,0.73966,0.75319,0.78053,0.51746,1.16523,0.87861,1.25225,0.00036057,0.00036057,0.00036057
17,830.589,1.06879,0.83906,1.18372,0.70567,0.77204,0.78702,0.52421,1.14528,0.84732,1.24438,0.000337008,0.000337008,0.000337008
18,877.204,1.06765,0.82791,1.17977,0.72518,0.76617,0.79225,0.5175,1.14891,0.86211,1.26099,0.000313446,0.000313446,0.000313446
19,924.577,1.04503,0.81816,1.17618,0.74227,0.76844,0.78956,0.52815,1.14822,0.82855,1.25799,0.000289884,0.000289884,0.000289884
20,971.153,1.04285,0.79111,1.17222,0.76415,0.75907,0.79866,0.5372,1.14232,0.82405,1.2459,0.000266322,0.000266322,0.000266322
21,1018.65,0.99103,0.7097,1.14991,0.74223,0.76556,0.79572,0.53601,1.14256,0.80553,1.24232,0.00024276,0.00024276,0.00024276
22,1063.95,0.98145,0.67098,1.14696,0.77265,0.74634,0.78695,0.53333,1.12475,0.80232,1.23965,0.000219198,0.000219198,0.000219198
23,1108.52,0.96227,0.64773,1.1345,0.74003,0.77739,0.79119,0.53498,1.1336,0.79624,1.23863,0.000195636,0.000195636,0.000195636
24,1154.1,0.94744,0.62434,1.12312,0.76248,0.7764,0.79569,0.53351,1.13141,0.81157,1.23513,0.000172074,0.000172074,0.000172074
25,1199.19,0.9471,0.61147,1.11838,0.76747,0.78667,0.80538,0.54107,1.1297,0.77619,1.23734,0.000148512,0.000148512,0.000148512
26,1244.03,0.92083,0.59122,1.10945,0.77526,0.77623,0.80402,0.53788,1.12721,0.78838,1.24254,0.00012495,0.00012495,0.00012495
27,1289.21,0.90781,0.57181,1.10458,0.77367,0.76258,0.79576,0.54101,1.12862,0.7916,1.23903,0.000101388,0.000101388,0.000101388
28,1334.56,0.88805,0.56096,1.09825,0.75669,0.78104,0.79687,0.53679,1.12467,0.78434,1.24268,7.7826e-05,7.7826e-05,7.7826e-05
29,1379.19,0.88438,0.54369,1.08768,0.78398,0.77933,0.79828,0.53764,1.12524,0.77934,1.24093,5.4264e-05,5.4264e-05,5.4264e-05
30,1423.93,0.87601,0.53346,1.08582,0.77248,0.78558,0.80113,0.54157,1.11789,0.77267,1.23486,3.0702e-05,3.0702e-05,3.0702e-05
