epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6422,1.38049,2.3333,1.41252,0.6173,0.65358,0.64508,0.39089,1.30244,1.26605,1.36892,0.000236237,0.000236237,0.000236237
2,90.5909,1.26216,1.26534,1.30566,0.68571,0.70085,0.7066,0.44232,1.29356,1.11535,1.38505,0.000458587,0.000458587,0.000458587
3,134.255,1.26346,1.21698,1.31233,0.65252,0.68587,0.69701,0.43549,1.28383,1.13781,1.32913,0.000665229,0.000665229,0.000665229
4,178.351,1.25611,1.17738,1.31289,0.63785,0.70315,0.71052,0.43014,1.30174,1.09762,1.37189,0.000643314,0.000643314,0.000643314
5,222.007,1.22695,1.11752,1.28955,0.72965,0.66709,0.71226,0.45653,1.25081,1.06388,1.3242,0.000619752,0.000619752,0.000619752
6,266.043,1.205,1.06486,1.27708,0.68223,0.72772,0.74821,0.46992,1.27388,0.99001,1.33833,0.00059619,0.00059619,0.00059619
7,312.076,1.19318,1.03415,1.26898,0.71919,0.70866,0.7542,0.48355,1.21441,0.9719,1.31908,0.000572628,0.000572628,0.000572628
8,356.621,1.17438,1.00771,1.26041,0.7317,0.73998,0.77363,0.50143,1.20835,0.93177,1.28452,0.000549066,0.000549066,0.000549066
9,400.628,1.15035,0.96231,1.24216,0.70936,0.72903,0.74903,0.48598,1.18455,0.9487,1.29659,0.000525504,0.000525504,0.000525504
10,444.907,1.13425,0.95015,1.23051,0.81657,0.6784,0.7673,0.5061,1.16693,0.89433,1.26626,0.000501942,0.000501942,0.000501942
11,489.154,1.13243,0.92672,1.22855,0.73154,0.72611,0.76465,0.50328,1.16877,0.92165,1.28235,0.00047838,0.00047838,0.00047838
12,532.882,1.11628,0.8978,1.2188,0.66953,0.77007,0.76457,0.50627,1.17028,0.89892,1.26664,0.000454818,0.000454818,0.000454818
13,576.298,1.10429,0.88461,1.22331,0.74001,0.7495,0.78191,0.51877,1.1661,0.87213,1.27498,0.000431256,0.000431256,0.000431256
14,622.338,1.08244,0.86024,1.20144,0.73453,0.74742,0.77886,0.50958,1.18053,0.89168,1.27627,0.000407694,0.000407694,0.000407694
15,666.272,1.0648,0.83325,1.19622,0.73215,0.77447,0.78731,0.51926,1.15573,0.86086,1.26179,0.000384132,0.000384132,0.000384132
16,710.332,1.0521,0.81155,1.18558,0.72012,0.7704,0.79344,0.5263,1.16251,0.85415,1.26341,0.00036057,0.00036057,0.00036057
17,754.954,1.04196,0.79247,1.17802,0.74171,0.73199,0.76904,0.51542,1.15076,0.90379,1.26813,0.000337008,0.000337008,0.000337008
18,798.679,1.03548,0.77693,1.17295,0.71924,0.77896,0.79111,0.53177,1.13591,0.83426,1.25925,0.000313446,0.000313446,0.000313446
19,842.827,1.02013,0.76359,1.17083,0.72078,0.78319,0.786,0.52935,1.13312,0.8446,1.24809,0.000289884,0.000289884,0.000289884
20,889.34,1.0125,0.74641,1.16328,0.71495,0.77115,0.78583,0.52358,1.15781,0.83512,1.26606,0.000266322,0.000266322,0.000266322
21,933.287,0.9651,0.65538,1.13376,0.72166,0.7786,0.78892,0.52773,1.13979,0.81736,1.25913,0.00024276,0.00024276,0.00024276
22,975.374,0.93749,0.62412,1.12231,0.73067,0.7721,0.78901,0.52925,1.1309,0.81389,1.25488,0.000219198,0.000219198,0.000219198
23,1021.67,0.92688,0.60349,1.11661,0.73553,0.7723,0.79591,0.53307,1.13708,0.8035,1.26119,0.000195636,0.000195636,0.000195636
24,1069.79,0.90581,0.57995,1.10465,0.74021,0.77686,0.80112,0.53783,1.12718,0.80514,1.24395,0.000172074,0.000172074,0.000172074
25,1116,0.90738,0.55497,1.09929,0.73469,0.7885,0.80361,0.53709,1.1344,0.81233,1.25752,0.000148512,0.000148512,0.000148512
26,1158.87,0.88466,0.5466,1.09394,0.74537,0.77483,0.78761,0.52451,1.1391,0.81701,1.26475,0.00012495,0.00012495,0.00012495
27,1201.8,0.86923,0.53375,1.08161,0.75865,0.74997,0.78186,0.52244,1.14689,0.81627,1.26255,0.000101388,0.000101388,0.000101388
28,1244.36,0.8502,0.51816,1.07584,0.72856,0.78659,0.7923,0.52814,1.14297,0.80598,1.27382,7.7826e-05,7.7826e-05,7.7826e-05
29,1288.61,0.84273,0.49916,1.07056,0.74666,0.76707,0.79272,0.53137,1.14132,0.80259,1.2766,5.4264e-05,5.4264e-05,5.4264e-05
30,1334.79,0.84034,0.49142,1.07226,0.74145,0.76903,0.79326,0.53134,1.14245,0.80532,1.27353,3.0702e-05,3.0702e-05,3.0702e-05
