epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8556,1.33263,4.5049,0.01114,0.48547,0.54785,0.50109,0.31753,1.22294,1.8892,0.01318,0.000236237,0.000236237,0.000236237
2,120.802,1.28962,1.88032,0.01012,0.63507,0.65686,0.66677,0.41961,1.29796,1.27759,0.01438,0.000450762,0.000450762,0.000450762
3,169.587,1.32616,1.53046,0.01066,0.65769,0.64702,0.68247,0.43272,1.29209,1.20107,0.01436,0.000641726,0.000641726,0.000641726
4,218.579,1.3111,1.38196,0.01049,0.62116,0.68053,0.68989,0.43938,1.29438,1.21242,0.0143,0.000607971,0.000607971,0.000607971
5,267.952,1.29425,1.3087,0.01024,0.66845,0.72923,0.72789,0.46862,1.24389,1.11752,0.01362,0.000572628,0.000572628,0.000572628
6,316.714,1.27946,1.22551,0.01031,0.71622,0.70788,0.73162,0.46551,1.25435,1.06102,0.0137,0.000537285,0.000537285,0.000537285
7,365.514,1.25611,1.17146,0.00986,0.72669,0.72368,0.74754,0.48527,1.23775,1.00961,0.01348,0.000501942,0.000501942,0.000501942
8,414.267,1.2155,1.11785,0.00966,0.74609,0.72495,0.7503,0.48342,1.20687,1.00248,0.01315,0.000466599,0.000466599,0.000466599
9,463.093,1.20221,1.06326,0.00945,0.72908,0.74418,0.77259,0.51323,1.21845,0.96046,0.01324,0.000431256,0.000431256,0.000431256
10,511.872,1.20824,1.02812,0.00942,0.75552,0.7473,0.7749,0.5124,1.19482,0.90799,0.01279,0.000395913,0.000395913,0.000395913
11,562.257,1.15362,0.91772,0.01093,0.71164,0.75282,0.76748,0.5003,1.19767,0.99421,0.01294,0.00036057,0.00036057,0.00036057
12,610.382,1.12099,0.85616,0.01027,0.70191,0.77755,0.78391,0.51719,1.21983,0.88876,0.01318,0.000325227,0.000325227,0.000325227
13,658.673,1.116,0.81493,0.01022,0.74139,0.77841,0.79541,0.52688,1.17543,0.89141,0.01252,0.000289884,0.000289884,0.000289884
14,706.848,1.08501,0.78604,0.01,0.72079,0.78374,0.79188,0.52822,1.17449,0.86867,0.01252,0.000254541,0.000254541,0.000254541
15,755.097,1.0683,0.74671,0.00966,0.74892,0.7513,0.78088,0.52829,1.16806,0.88251,0.01241,0.000219198,0.000219198,0.000219198
16,803.247,1.04946,0.71753,0.00955,0.76301,0.76,0.7799,0.52601,1.1633,0.89733,0.01234,0.000183855,0.000183855,0.000183855
17,851.376,1.02644,0.66869,0.00923,0.77263,0.75195,0.78828,0.52867,1.15044,0.86499,0.01213,0.000148512,0.000148512,0.000148512
18,899.745,1.01949,0.65838,0.00906,0.76578,0.76115,0.79018,0.53108,1.14487,0.87801,0.01201,0.000113169,0.000113169,0.000113169
19,948.04,1.0032,0.64388,0.00885,0.79612,0.75243,0.79105,0.53231,1.14491,0.8741,0.01207,7.7826e-05,7.7826e-05,7.7826e-05
20,996.2,0.989,0.61471,0.00878,0.78781,0.76543,0.79898,0.53682,1.1359,0.85488,0.01196,4.2483e-05,4.2483e-05,4.2483e-05
