epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9957,1.30725,1.84608,1.42636,0.69054,0.66949,0.69957,0.42813,1.26768,1.19973,1.43117,0.000236237,0.000236237,0.000236237
2,159.203,1.24546,1.24132,1.35626,0.5961,0.63973,0.6463,0.40209,1.29197,1.21795,1.47637,0.000458587,0.000458587,0.000458587
3,237.931,1.28068,1.24156,1.39757,0.6219,0.67683,0.66503,0.40509,1.32249,1.19233,1.50112,0.000665229,0.000665229,0.000665229
4,316.414,1.26729,1.18463,1.3832,0.69078,0.68184,0.71987,0.4478,1.2906,1.10627,1.44927,0.000643314,0.000643314,0.000643314
5,394.999,1.23877,1.14081,1.37361,0.77408,0.66548,0.72935,0.45752,1.27125,1.03045,1.45416,0.000619752,0.000619752,0.000619752
6,473.792,1.22502,1.07531,1.36478,0.7645,0.73729,0.76974,0.48841,1.22121,0.98209,1.4025,0.00059619,0.00059619,0.00059619
7,552.446,1.19964,1.03407,1.34419,0.71999,0.72682,0.75896,0.48964,1.21003,0.95912,1.39876,0.000572628,0.000572628,0.000572628
8,630.969,1.15681,0.9985,1.32862,0.69419,0.74221,0.76431,0.49244,1.1847,0.95938,1.377,0.000549066,0.000549066,0.000549066
9,709.577,1.14743,0.96091,1.32087,0.67439,0.75356,0.75207,0.48896,1.19281,0.94523,1.38771,0.000525504,0.000525504,0.000525504
10,788.606,1.13644,0.93954,1.31227,0.73834,0.75272,0.78438,0.50733,1.19213,0.89546,1.36574,0.000501942,0.000501942,0.000501942
11,867.225,1.12072,0.90627,1.2836,0.74584,0.75198,0.76967,0.50772,1.17335,0.86107,1.36032,0.00047838,0.00047838,0.00047838
12,945.816,1.09607,0.88824,1.28412,0.71568,0.7691,0.79025,0.51879,1.15457,0.88218,1.34684,0.000454818,0.000454818,0.000454818
13,1024.4,1.10446,0.88685,1.28368,0.78535,0.75677,0.7985,0.5268,1.15286,0.82912,1.35523,0.000431256,0.000431256,0.000431256
14,1103.14,1.07136,0.85366,1.27221,0.73089,0.79476,0.80963,0.53241,1.16085,0.82246,1.35998,0.000407694,0.000407694,0.000407694
15,1181.7,1.05227,0.81507,1.25768,0.78296,0.74218,0.78996,0.52413,1.15163,0.83973,1.3565,0.000384132,0.000384132,0.000384132
16,1260.1,1.04454,0.80378,1.2506,0.78334,0.76406,0.8078,0.53504,1.14286,0.79242,1.35786,0.00036057,0.00036057,0.00036057
17,1338.62,1.03089,0.76953,1.24173,0.79977,0.75659,0.80114,0.53665,1.13586,0.79149,1.3432,0.000337008,0.000337008,0.000337008
18,1417.18,1.01988,0.75052,1.23657,0.78039,0.76713,0.80857,0.54223,1.12396,0.79032,1.34229,0.000313446,0.000313446,0.000313446
19,1495.8,0.99655,0.72266,1.2194,0.7395,0.79222,0.80656,0.5347,1.13059,0.80175,1.34203,0.000289884,0.000289884,0.000289884
20,1574.15,0.99946,0.72061,1.21554,0.73593,0.80142,0.80213,0.53858,1.13184,0.78344,1.327,0.000266322,0.000266322,0.000266322
21,1653.31,0.9434,0.65031,1.19556,0.74709,0.77471,0.79945,0.53121,1.11854,0.81647,1.34045,0.00024276,0.00024276,0.00024276
22,1732.17,0.93012,0.62169,1.18752,0.75532,0.77579,0.80802,0.54786,1.12171,0.7927,1.33558,0.000219198,0.000219198,0.000219198
23,1810.74,0.91464,0.59541,1.17505,0.75498,0.7909,0.80543,0.54187,1.12473,0.78665,1.33925,0.000195636,0.000195636,0.000195636
24,1889.04,0.89469,0.57373,1.16912,0.78115,0.77437,0.80387,0.54723,1.11555,0.78208,1.34015,0.000172074,0.000172074,0.000172074
25,1967.39,0.87523,0.55124,1.15239,0.78302,0.76926,0.80366,0.53896,1.12539,0.77065,1.3339,0.000148512,0.000148512,0.000148512
26,2045.62,0.85819,0.52939,1.13929,0.78349,0.77463,0.81106,0.55073,1.10971,0.76417,1.32676,0.00012495,0.00012495,0.00012495
27,2124.33,0.84388,0.50296,1.12311,0.77537,0.77669,0.80149,0.54476,1.12569,0.76011,1.33996,0.000101388,0.000101388,0.000101388
28,2202.57,0.83286,0.48512,1.1224,0.7544,0.79855,0.80871,0.54763,1.11781,0.75208,1.33605,7.7826e-05,7.7826e-05,7.7826e-05
29,2280.88,0.81249,0.46949,1.1158,0.7979,0.76419,0.80661,0.54524,1.11138,0.7551,1.33035,5.4264e-05,5.4264e-05,5.4264e-05
30,2359.12,0.79738,0.45452,1.09411,0.75615,0.80096,0.80745,0.54834,1.11076,0.75251,1.33588,3.0702e-05,3.0702e-05,3.0702e-05
