epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3613,1.40633,2.79009,1.41709,0.5636,0.59065,0.59678,0.36982,1.30087,1.61929,1.34029,0.000236237,0.000236237,0.000236237
2,51.4235,1.30259,1.64542,1.29599,0.65492,0.6787,0.68854,0.43325,1.28355,1.30813,1.31489,0.000458587,0.000458587,0.000458587
3,75.3414,1.29742,1.5049,1.30211,0.65593,0.6215,0.66441,0.40287,1.30303,1.40494,1.36953,0.000665229,0.000665229,0.000665229
4,99.3542,1.27473,1.42462,1.28553,0.63111,0.69029,0.69275,0.43829,1.25728,1.21889,1.29832,0.000643314,0.000643314,0.000643314
5,123.601,1.24897,1.33817,1.26729,0.71426,0.66003,0.71057,0.45306,1.25109,1.17221,1.29981,0.000619752,0.000619752,0.000619752
6,147.696,1.23961,1.27824,1.26471,0.69055,0.72323,0.74555,0.47491,1.2154,1.08172,1.28297,0.00059619,0.00059619,0.00059619
7,171.725,1.21204,1.21998,1.24968,0.71606,0.69353,0.74401,0.48759,1.19199,1.04545,1.2523,0.000572628,0.000572628,0.000572628
8,195.844,1.18646,1.16264,1.24206,0.68199,0.73302,0.7499,0.48414,1.19338,1.04298,1.27154,0.000549066,0.000549066,0.000549066
9,219.907,1.18408,1.13912,1.23735,0.70748,0.74046,0.7566,0.49171,1.20659,0.9971,1.26665,0.000525504,0.000525504,0.000525504
10,243.914,1.18079,1.10052,1.23092,0.69842,0.76058,0.76722,0.50089,1.18235,0.96232,1.25624,0.000501942,0.000501942,0.000501942
11,267.935,1.16094,1.06772,1.21356,0.73554,0.74316,0.76427,0.50333,1.18871,0.97181,1.26631,0.00047838,0.00047838,0.00047838
12,292.05,1.14645,1.04431,1.21128,0.80423,0.71889,0.7644,0.50593,1.17461,0.9402,1.24873,0.000454818,0.000454818,0.000454818
13,316.04,1.15603,1.04162,1.21952,0.73152,0.75451,0.77389,0.51141,1.18079,0.93125,1.25139,0.000431256,0.000431256,0.000431256
14,340.179,1.12734,0.99937,1.20188,0.73797,0.75523,0.78104,0.51608,1.16361,0.91443,1.25196,0.000407694,0.000407694,0.000407694
15,364.346,1.11671,0.97536,1.19649,0.72358,0.75214,0.77098,0.50903,1.16995,0.92235,1.25432,0.000384132,0.000384132,0.000384132
16,388.285,1.11844,0.9673,1.19593,0.72069,0.78622,0.78925,0.52397,1.14522,0.87687,1.24206,0.00036057,0.00036057,0.00036057
17,412.419,1.10485,0.93271,1.18388,0.77246,0.75612,0.78431,0.52054,1.1409,0.90852,1.23765,0.000337008,0.000337008,0.000337008
18,436.773,1.0961,0.91903,1.18041,0.80098,0.74106,0.78395,0.52108,1.14962,0.87544,1.2447,0.000313446,0.000313446,0.000313446
19,461.07,1.08277,0.89377,1.17473,0.73138,0.76431,0.778,0.51691,1.16509,0.90367,1.24986,0.000289884,0.000289884,0.000289884
20,485.14,1.09112,0.89206,1.17632,0.74504,0.75722,0.77947,0.51924,1.14948,0.87636,1.24216,0.000266322,0.000266322,0.000266322
21,510.694,1.02565,0.82825,1.15876,0.80252,0.72933,0.76796,0.51055,1.15442,0.88759,1.24813,0.00024276,0.00024276,0.00024276
22,534.644,1.0244,0.79864,1.15603,0.75903,0.74274,0.77499,0.51891,1.14768,0.88522,1.24245,0.000219198,0.000219198,0.000219198
23,558.349,1.00339,0.76398,1.14558,0.76099,0.74624,0.7735,0.5145,1.15,0.88375,1.23872,0.000195636,0.000195636,0.000195636
24,582.218,0.99247,0.7449,1.14693,0.7598,0.76677,0.78477,0.52203,1.14814,0.85557,1.24307,0.000172074,0.000172074,0.000172074
25,605.946,0.97936,0.73003,1.13203,0.7278,0.77931,0.78254,0.51908,1.1406,0.87815,1.24235,0.000148512,0.000148512,0.000148512
26,629.754,0.96413,0.70944,1.12672,0.75342,0.77095,0.78542,0.52448,1.12773,0.86113,1.23489,0.00012495,0.00012495,0.00012495
27,653.48,0.95693,0.6842,1.11719,0.73702,0.77635,0.78547,0.52571,1.1305,0.85659,1.23546,0.000101388,0.000101388,0.000101388
28,677.246,0.95288,0.67131,1.11675,0.77118,0.76277,0.78861,0.52318,1.1409,0.84625,1.23986,7.7826e-05,7.7826e-05,7.7826e-05
29,700.801,0.94279,0.66049,1.11631,0.76363,0.77117,0.78839,0.52678,1.12964,0.84142,1.23563,5.4264e-05,5.4264e-05,5.4264e-05
30,724.519,0.92754,0.64627,1.09724,0.7578,0.77032,0.79053,0.52894,1.12733,0.84073,1.23548,3.0702e-05,3.0702e-05,3.0702e-05
