epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3276,1.7601,2.69961,1.70262,0.52511,0.63112,0.58187,0.28315,1.77278,1.53723,1.52917,0.000236237,0.000236237,0.000236237
2,80.9827,1.55331,1.70271,1.5305,0.61741,0.67372,0.67155,0.36157,1.6278,1.2801,1.48436,0.000458587,0.000458587,0.000458587
3,120.658,1.52971,1.60137,1.53304,0.62571,0.69811,0.68332,0.37342,1.57834,1.20626,1.46606,0.000665229,0.000665229,0.000665229
4,160.065,1.52044,1.5736,1.541,0.70274,0.69059,0.6905,0.36718,1.60302,1.19292,1.47013,0.000643314,0.000643314,0.000643314
5,199.393,1.48509,1.48708,1.49787,0.62285,0.71682,0.71252,0.34891,1.76211,1.19731,1.59756,0.000619752,0.000619752,0.000619752
6,238.665,1.4618,1.42778,1.4873,0.67261,0.73099,0.72978,0.42917,1.46517,1.05285,1.40347,0.00059619,0.00059619,0.00059619
7,278.019,1.44707,1.39486,1.48058,0.65432,0.70326,0.70344,0.42137,1.40374,1.07095,1.38601,0.000572628,0.000572628,0.000572628
8,317.339,1.43557,1.37367,1.48265,0.68863,0.7252,0.74012,0.4516,1.35815,1.03532,1.35563,0.000549066,0.000549066,0.000549066
9,356.648,1.40502,1.3072,1.44525,0.70184,0.73992,0.74478,0.45547,1.31811,1.01038,1.3304,0.000525504,0.000525504,0.000525504
10,396.547,1.40595,1.3041,1.449,0.75741,0.72353,0.77123,0.46762,1.35568,0.99752,1.34312,0.000501942,0.000501942,0.000501942
11,436.117,1.39158,1.26149,1.43619,0.70809,0.73703,0.74687,0.45917,1.31539,0.96983,1.33328,0.00047838,0.00047838,0.00047838
12,475.389,1.37045,1.23938,1.42725,0.73886,0.75373,0.77563,0.48268,1.31371,0.92597,1.32297,0.000454818,0.000454818,0.000454818
13,514.778,1.34692,1.22737,1.40716,0.78585,0.73181,0.77061,0.46512,1.37204,0.94714,1.34889,0.000431256,0.000431256,0.000431256
14,554.012,1.3425,1.17922,1.4058,0.70428,0.76358,0.76548,0.46397,1.36549,0.95647,1.33652,0.000407694,0.000407694,0.000407694
15,593.436,1.33323,1.20093,1.4069,0.71865,0.74956,0.76517,0.48609,1.25326,0.94284,1.30955,0.000384132,0.000384132,0.000384132
16,632.784,1.31999,1.1545,1.40042,0.71593,0.787,0.789,0.48874,1.30339,0.90969,1.31476,0.00036057,0.00036057,0.00036057
17,672.237,1.32162,1.15612,1.39177,0.77537,0.72379,0.77675,0.49522,1.28087,0.90363,1.30202,0.000337008,0.000337008,0.000337008
18,711.728,1.30652,1.13517,1.37871,0.73536,0.76261,0.77196,0.48773,1.30427,0.9099,1.30911,0.000313446,0.000313446,0.000313446
19,751.054,1.29525,1.11252,1.37411,0.78618,0.74887,0.78438,0.50329,1.25054,0.87463,1.29312,0.000289884,0.000289884,0.000289884
20,790.314,1.27274,1.08517,1.3581,0.74178,0.77391,0.78529,0.49785,1.30187,0.87692,1.29559,0.000266322,0.000266322,0.000266322
21,830.161,1.18741,0.87984,1.30869,0.75165,0.7663,0.7886,0.49991,1.27223,0.86518,1.28627,0.00024276,0.00024276,0.00024276
22,868.344,1.16413,0.84544,1.29926,0.74413,0.76897,0.7851,0.5084,1.22261,0.84712,1.27118,0.000219198,0.000219198,0.000219198
23,906.679,1.13764,0.80915,1.28199,0.7637,0.76765,0.78746,0.51096,1.23443,0.84693,1.2872,0.000195636,0.000195636,0.000195636
24,944.975,1.12384,0.79576,1.2726,0.75625,0.77053,0.78739,0.49779,1.29023,0.85627,1.29004,0.000172074,0.000172074,0.000172074
25,983.155,1.11426,0.78646,1.26302,0.73748,0.78367,0.79266,0.5122,1.23278,0.83556,1.27589,0.000148512,0.000148512,0.000148512
26,1021.32,1.09554,0.76026,1.25676,0.74248,0.79542,0.79864,0.48647,1.3771,0.83758,1.31472,0.00012495,0.00012495,0.00012495
27,1059.45,1.08894,0.73699,1.2477,0.76188,0.79299,0.80266,0.51232,1.26858,0.82639,1.28236,0.000101388,0.000101388,0.000101388
28,1097.55,1.08532,0.71432,1.24138,0.78756,0.77241,0.80369,0.51518,1.25202,0.82283,1.27035,7.7826e-05,7.7826e-05,7.7826e-05
29,1135.78,1.06357,0.70929,1.23221,0.76911,0.78005,0.80296,0.52273,1.21312,0.81133,1.25268,5.4264e-05,5.4264e-05,5.4264e-05
30,1174.66,1.05441,0.69299,1.21202,0.78329,0.77339,0.80396,0.52806,1.19677,0.80754,1.25279,3.0702e-05,3.0702e-05,3.0702e-05
